央视频道,#genre#
卡酷少儿,http://119.125.104.126:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://119.125.134.181:9901/tsfile/live/1100_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://119.125.134.251:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://119.125.104.17:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
少儿动画,http://119.125.104.17:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
少儿动画,http://119.125.104.126:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
少儿动画,http://119.125.134.251:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
岭南戏曲,http://119.125.134.181:9901/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
幸福剧场,http://119.125.134.181:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://119.125.134.251:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://119.125.104.126:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://119.125.134.181:9901/tsfile/live/1081_1.m3u8?key=txiptv&playlive=1&authid=0
广东公共,http://119.125.104.126:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
广东公共,http://119.125.134.181:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://119.125.104.126:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://119.125.104.17:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://119.125.134.181:9901/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
广东影视,http://119.125.104.126:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
广东影视,http://119.125.104.17:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
广东影视,http://119.125.134.181:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://119.125.134.251:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://119.125.104.126:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://119.125.134.181:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://119.125.134.251:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://119.125.104.126:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://119.125.134.181:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
怀旧剧场,http://119.125.104.17:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
怀旧剧场,http://119.125.104.126:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
新科动漫,http://119.125.104.17:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
新科动漫,http://119.125.104.126:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
新视觉,http://119.125.104.17:9901/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
新视觉,http://119.125.104.126:9901/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
新视觉,http://119.125.134.181:9901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
明珠台,http://119.125.104.17:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
明珠台,http://119.125.134.251:9901/tsfile/live/1078_1.m3u8?key=txiptv&playlive=1&authid=0
明珠台,http://119.125.104.126:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
梅州导视,http://119.125.134.181:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
